"character","hex","red","green","blue"
"a","#FF0808",255,8,8
"b","#0F4DF7",15,77,247
"c","#FAFA00",250,250,0
"d","#2D86FA",45,134,250
"e","#DBDBDB",219,219,219
"f","#F2DE8E",242,222,142
"g","#DB991F",219,153,31
"h","#8A6005",138,96,5
"i","#F5F5F5",245,245,245
"j","#AE20FA",174,32,250
"k","#E6077A",230,7,122
"l","#5EF518",94,245,24
"m","#DE095E",222,9,94
"n","#D18B08",209,139,8
"o","#050505",5,5,5
"p","#05FA2E",5,250,46
"q","#A66E07",166,110,7
"r","#704D01",112,77,1
"s","#60E00B",96,224,11
"t","#56D408",86,212,8
"u","#BFB184",191,177,132
"v","#AD7A03",173,122,3
"w","#E427F2",228,39,242
"x","#B59348",181,147,72
"y","#FFF3B2",255,243,178
"z","#51BF07",81,191,7
"1","#F5F5F5",245,245,245
"2","#8F5F04",143,95,4
"3","#EB0000",235,0,0
"4","#D6089C",214,8,156
"5","#1982FA",25,130,250
"6","#FFE205",255,226,5
"7","#4ED108",78,209,8
"8","#754C00",117,76,0
"9","#7B438F",123,67,143
"0","#030303",3,3,3
